#id,x,y,z,u,v,z
344,-20.00,11.50,0.00,0.000,0.000,0.00
345,-20.00,12.50,0.00,0.000,0.000,0.00
346,-20.00,13.50,0.00,0.000,0.000,0.00
347,-20.00,14.50,0.00,0.000,0.000,0.00
348,-20.00,15.50,0.00,0.000,0.000,0.00
349,-20.00,16.50,0.00,0.000,0.000,0.00
350,-20.00,17.50,0.00,0.000,0.000,0.00
351,-20.00,18.50,0.00,0.000,0.000,0.00
352,-20.00,19.50,0.00,0.000,0.000,0.00
353,-20.00,20.50,0.00,0.000,0.000,0.00
354,-20.00,21.50,0.00,0.000,0.000,0.00
355,-20.00,22.50,0.00,0.000,0.000,0.00
356,-20.00,23.50,0.00,0.000,0.000,0.00
357,-20.00,24.50,0.00,0.000,0.000,0.00
358,-20.00,25.50,0.00,0.000,0.000,0.00
359,-20.00,26.50,0.00,0.000,0.000,0.00
360,-20.00,27.50,0.00,0.000,0.000,0.00
361,-20.00,28.50,0.00,0.000,0.000,0.00
362,-20.00,29.50,0.00,0.000,0.000,0.00
363,-20.00,30.50,0.00,0.000,0.000,0.00
364,-20.00,31.50,0.00,0.000,0.000,0.00
365,-20.00,32.50,0.00,0.000,0.000,0.00
366,-20.00,33.50,0.00,0.000,0.000,0.00
367,-20.00,34.50,0.00,0.000,0.000,0.00
368,-20.00,35.50,0.00,0.000,0.000,0.00
369,-20.00,36.50,0.00,0.000,0.000,0.00
370,-19.00,-36.50,0.00,0.000,0.000,0.00
371,-19.00,-35.50,0.00,0.000,0.000,0.00
372,-19.00,-34.50,0.00,0.000,0.000,0.00
373,-19.00,-33.50,0.00,0.000,0.000,0.00
374,-19.00,-32.50,0.00,0.000,0.000,0.00
375,-19.00,-31.50,0.00,0.000,0.000,0.00
376,-19.00,-30.50,0.00,0.000,0.000,0.00
377,-19.00,-29.50,0.00,0.000,0.000,0.00
378,-19.00,-28.50,0.00,0.000,0.000,0.00
379,-19.00,-27.50,0.00,0.000,0.000,0.00
380,-19.00,-26.50,0.00,0.000,0.000,0.00
381,-19.00,-25.50,0.00,0.000,0.000,0.00
382,-19.00,-24.50,0.00,0.000,0.000,0.00
383,-19.00,-23.50,0.00,0.000,0.000,0.00
384,-19.00,-22.50,0.00,0.000,0.000,0.00
385,-19.00,-21.50,0.00,0.000,0.000,0.00
386,-19.00,-20.50,0.00,0.000,0.000,0.00
387,-19.00,-19.50,0.00,0.000,0.000,0.00
388,-19.00,-18.50,0.00,0.000,0.000,0.00
389,-19.00,-17.50,0.00,0.000,0.000,0.00
390,-19.00,-16.50,0.00,0.000,0.000,0.00
391,-19.00,-15.50,0.00,0.000,0.000,0.00
392,-19.00,-14.50,0.00,0.000,0.000,0.00
393,-19.00,-13.50,0.00,0.000,0.000,0.00
394,-19.00,-12.50,0.00,0.000,0.000,0.00
395,-19.00,-11.50,0.00,0.000,0.000,0.00
396,-19.00,-10.50,0.00,0.000,0.000,0.00
397,-19.00,-9.50,0.00,0.000,0.000,0.00
398,-19.00,-8.50,0.00,0.000,0.000,0.00
399,-19.00,-7.50,0.00,0.000,0.000,0.00
400,-19.00,-6.50,0.00,0.000,0.000,0.00
401,-19.00,-5.50,0.00,0.000,0.000,0.00
402,-19.00,-4.50,0.00,0.000,0.000,0.00
403,-19.00,-3.50,0.00,0.000,0.000,0.00
404,-19.00,-2.50,0.00,0.000,0.000,0.00
405,-19.00,-1.50,0.00,0.000,0.000,0.00
406,-19.00,-0.50,0.00,0.000,0.000,0.00
407,-19.00,0.50,0.00,0.000,0.000,0.00
408,-19.00,1.50,0.00,0.000,0.000,0.00
409,-19.00,2.50,0.00,0.000,0.000,0.00
410,-19.00,3.50,0.00,0.000,0.000,0.00
411,-19.00,4.50,0.00,0.000,0.000,0.00
412,-19.00,5.50,0.00,0.000,0.000,0.00
413,-19.00,6.50,0.00,0.000,0.000,0.00
414,-19.00,7.50,0.00,0.000,0.000,0.00
415,-19.00,8.50,0.00,0.000,0.000,0.00
416,-19.00,9.50,0.00,0.000,0.000,0.00
417,-19.00,10.50,0.00,0.000,0.000,0.00
418,-19.00,11.50,0.00,0.000,0.000,0.00
419,-19.00,12.50,0.00,0.000,0.000,0.00
420,-19.00,13.50,0.00,0.000,0.000,0.00
421,-19.00,14.50,0.00,0.000,0.000,0.00
422,-19.00,15.50,0.00,0.000,0.000,0.00
423,-19.00,16.50,0.00,0.000,0.000,0.00
424,-19.00,17.50,0.00,0.000,0.000,0.00
425,-19.00,18.50,0.00,0.000,0.000,0.00
426,-19.00,19.50,0.00,0.000,0.000,0.00
427,-19.00,20.50,0.00,0.000,0.000,0.00
428,-19.00,21.50,0.00,0.000,0.000,0.00
429,-19.00,22.50,0.00,0.000,0.000,0.00
430,-19.00,23.50,0.00,0.000,0.000,0.00
431,-19.00,24.50,0.00,0.000,0.000,0.00
432,-19.00,25.50,0.00,0.000,0.000,0.00
433,-19.00,26.50,0.00,0.000,0.000,0.00
434,-19.00,27.50,0.00,0.000,0.000,0.00
435,-19.00,28.50,0.00,0.000,0.000,0.00
436,-19.00,29.50,0.00,0.000,0.000,0.00
437,-19.00,30.50,0.00,0.000,0.000,0.00
438,-19.00,31.50,0.00,0.000,0.000,0.00
439,-19.00,32.50,0.00,0.000,0.000,0.00
440,-19.00,33.50,0.00,0.000,0.000,0.00
441,-19.00,34.50,0.00,0.000,0.000,0.00
442,-19.00,35.50,0.00,0.000,0.000,0.00
443,-19.00,36.50,0.00,0.000,0.000,0.00
444,-18.00,-36.50,0.00,0.000,0.000,0.00
445,-18.00,-35.50,0.00,0.000,0.000,0.00
446,-18.00,-34.50,0.00,0.000,0.000,0.00
447,-18.00,-33.50,0.00,0.000,0.000,0.00
448,-18.00,-32.50,0.00,0.000,0.000,0.00
449,-18.00,-31.50,0.00,0.000,0.000,0.00
450,-18.00,-30.50,0.00,0.000,0.000,0.00
451,-18.00,-29.50,0.00,0.000,0.000,0.00
452,-18.00,-28.50,0.00,0.000,0.000,0.00
453,-18.00,-27.50,0.00,0.000,0.000,0.00
454,-18.00,-26.50,0.00,0.000,0.000,0.00
455,-18.00,-25.50,0.00,0.000,0.000,0.00
456,-18.00,-24.50,0.00,0.000,0.000,0.00
